

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
285 	čapar’ 	NOUN
286 	sär’ 	NOUN
287 	sar’ 	NOUN
288 	kasar’ 	NOUN
289 	kesar’ 	NOUN
290 	pisar’ 	NOUN
291 	vahtar’ 	NOUN
292 	altar’ 	NOUN
293 	kastar’ 	NOUN
294 	mastar’ 	NOUN
295 	rad||mastar’ 	NOUN
296 	paginmastar’ 	NOUN
297 	baletmastar’ 	NOUN
298 	sportmastar’ 	NOUN (animate)
299 	hibuzmastar’ 	NOUN
300 	nürkutuz||mastar’ 	NOUN
301 	koivištar’ 	NOUN
302 	saivar’ 	NOUN
303 	Lazar’ 	PROPN
304 	sonzar’ 	NOUN
305 	eger’ 	NOUN
306 	muzaver’ 	ADJ
307 	ruzaver’ 	ADJ
308 	te||ver’ 	NOUN
309 	jogiver’ 	NOUN (singularia tantum)
310 	jogenver’ 	NOUN
311 	orgon||ver’ 	NOUN
312 	lakson||ver’ 	NOUN
313 	kujover’ 	NOUN
314 	zver’ 	NOUN
315 	hir’ 	NOUN
316 	nügahir’ 	NOUN
317 	pöudhir’ 	NOUN
318 	monastir’ 	NOUN
319 	vehor’ 	NOUN
320 	vihor’ 	NOUN
321 	kor’ 	NOUN
322 	jäkor’ 	NOUN
323 	makor’ 	NOUN
324 	munakor’ 	NOUN
325 	kovakor’ 	NOUN
326 	kalitkkor’ 	NOUN
327 	dubankor’ 	NOUN
328 	man||kor’ 	NOUN
329 	limonan||kor’ 	NOUN
330 	lepän||kor’ 	NOUN (singularia tantum)
331 	kirjeiženkor’ 	NOUN
332 	kuzenkor’ 	NOUN
333 	pajun||kor’ 	NOUN (singularia tantum)
334 	lukun||kor’ 	NOUN
335 	pun||kor’ 	NOUN
336 	koivunkor’ 	NOUN
337 	aivokor’ 	NOUN
338 	nor’ 	ADJ
339 	gür’ 	NOUN
340 	jur’ 	NOUN
341 	jür’ 	NOUN
342 	rusked jur’ 	NOUN
343 	omeg||jur’ 	NOUN
344 	kalganjur’ 	NOUN
345 	pedajan||jur’ 	NOUN
346 	nenanjur’ 	NOUN
347 	korvanjur’ 	NOUN
348 	mägen||jur’ 	NOUN
349 	kelenjur’ 	NOUN
350 	hambazjur’ 	NOUN
351 	umbezjur’ 	NOUN
352 	sur’ 	ADJ
353 	düur’ 	NOUN
354 	kaks’ 	NUM
355 	uks’ 	NOUN
356 	üks’ 	ADV (quantity or degree, positive degree of comparison)
357 	üks’ 	NUM
358 	suks’ 	NOUN
359 	laps’ 	NOUN (animate)
360 	sada laps’ 	PHRASE
361 	londusen laps’ 	PHRASE
362 	nižalaps’ 	NOUN
363 	birbitušklaps’ 	NOUN
364 	lapsen||laps’ 	NOUN
365 	neidiž||laps’ 	NOUN
366 	pečat’ 	NOUN
367 	udat’ 	NOUN
368 	Ojat’ 	PROPN (singularia tantum)
369 	kokat’ 	NOUN
370 	kalakokat’ 	NOUN
371 	palat’ 	NOUN
372 	nat’ 	NOUN
373 	kravat’ 	NOUN
374 	kül’bet’ 	NOUN
375 	vet’ 	INTJ
376 	neft’ 	NOUN
377 	t’äht’ 	NOUN
378 	märeht’ 	VERB
379 	leit’ 	NOUN
380 	nit’ 	NOUN
381 	hot’ 	ADV
382 	pert’ 	NOUN
383 	kezapert’ 	NOUN
384 	sündutandpert’ 	NOUN
385 	kivipert’ 	NOUN
386 	praznikpert’ 	NOUN
387 	suimpert’ 	NOUN
388 	kul’turpert’ 	NOUN
389 	pupert’ 	NOUN
390 	adivpert’ 	NOUN
391 	erižpert’ 	NOUN
392 	oblast’ 	NOUN
393 	snast’ 	NOUN
394 	vest’ 	NOUN
395 	pigavest’ 	NOUN
396 	ilovest’ 	NOUN (singularia tantum)
397 	sijahurst’ 	NOUN
398 	lavahurst’ 	NOUN
399 	pidust’ 	PREP
400 	zabut’ 	NOUN
401 	artut’ 	NOUN
402 	morkov’ 	NOUN
403 	mec||järv’ 	NOUN
404 	mägi||järv’ 	NOUN
405 	kün’z’ 	NOUN
406 	kavaz’ 	NOUN
